Asset,Mean Entropy,Std Entropy,Min Entropy,Max Entropy,Median Entropy,CV (%),Data Points
Reliance,1.5849559145798928,5.187927200070521e-05,1.5842854802273443,1.5849625002883474,1.5849625002883474,0.003273231231447614,1622
TCS,1.5849559145798928,5.187927200070521e-05,1.5842854802273443,1.5849625002883474,1.5849625002883474,0.003273231231447614,1622
HDFC Bank,1.5849559145798928,5.187927200070521e-05,1.5842854802273443,1.5849625002883474,1.5849625002883474,0.003273231231447614,1622
LTIMindtree,1.5849559145798928,5.187927200070521e-05,1.5842854802273443,1.5849625002883474,1.5849625002883474,0.003273231231447614,1622
ICICI Bank,1.5849559145798928,5.187927200070521e-05,1.5842854802273443,1.5849625002883474,1.5849625002883474,0.003273231231447614,1622
Bharti Airtel,1.5849559145798928,5.187927200070521e-05,1.5842854802273443,1.5849625002883474,1.5849625002883474,0.003273231231447614,1622
SBI,1.5849559145798928,5.187927200070521e-05,1.5842854802273443,1.5849625002883474,1.5849625002883474,0.003273231231447614,1622
HUL,1.5849559145798928,5.187927200070521e-05,1.5842854802273443,1.5849625002883474,1.5849625002883474,0.003273231231447614,1622
Infosys,1.5849559145798928,5.187927200070521e-05,1.5842854802273443,1.5849625002883474,1.5849625002883474,0.003273231231447614,1622
ITC,1.5849559145798928,5.187927200070521e-05,1.5842854802273443,1.5849625002883474,1.5849625002883474,0.003273231231447614,1622
NIFTY,1.5849558982987844,5.194236436703342e-05,1.5842854802273443,1.5849625002883474,1.5849625002883474,0.003277211966767395,1618
